ano,texto_completo
Essa ""expressão"" é para o outro. E o sorrir também é motivado pelo outro.

Vem **DO OUTRO** e é **PARA O OUTRO**.

  

Podemos concluir que o sorrir não é nosso: é do outro. É uma manifestação
corporal e sentimental que começa e termina no outro.

 Gostaríamos de abordar alguns conceitos da filosofia de Leibniz
esquematicamente, referentes a criação do mundo e a liberdade humana.

  

Para Leibniz, no entendimento de Deus existem muitos mundos possíveis, mas Ele
escolhe o melhor dentre todos. Sendo assim, nosso mundo é contingente porque
""poderia"" ser outro (se Deus quisesse), mas é esse por uma escolha moral de
Deus. Por trás dessa escolha há uma liberdade que não é arbitrária, mas
calculada racionalmente e baseada na vontade de Deus.

  

Dentro do nosso mundo criado existem leis que podem ser resumidas em: leis
subalternas e leis universalíssimas, mas também existe a memória humana. De
novo, essas leis são contingentes porque poderiam estar em outros mundos
possíveis, mas estão nesse porque Deus é bom e esse é o melhor dos mundos
possíveis.

  

A memória é uma faculdade humana que ""automatiza"" certas leis naturais, a
partir dela não precisamos realizar cálculos. Por exemplo, sabemos que o sol
nasce de manhã e se põe de tarde todos os dias.

  

As leis subalternas são as leis naturais, da natureza, da ciência, da física,
da mecânica. Podem ser calculadas por nós, deduzidas pelo nosso entendimento
humano. Enfim, o que podemos explicar recorrendo a fórmulas. Por exemplo, que
a densidade é o quociente entre massa e volume.

  

As leis universalíssimas pertencem à ordem das regras de Deus e nelas estão
contidos os milagres e nossas ações livres. Os milagres estão na ordem das
leis de Deus e não temos conhecimento suficiente para entendê-los. Da mesma
forma que as ações livres dos homens, que são imprevisíveis em cada situação.
Aqui Leibniz não se utiliza de nenhuma moral normativa que poderia
caracterizar ou ""indicar"" quais seriam ou deveriam ser nossas escolhas e ações
(deixemos isso para Kant).

  

A partir desse esquema simplificado, encerraremos com duas reflexões acerca
das nossas ações livres. Uma que se relaciona com nossa liberdade humana e
outra com a natureza das nossas ações. Se nossas ações livres estão dentro das
leis universalíssimas, elas estão no entendimento de Deus e podemos
compreender melhor o significado de nossa liberdade: uma que remete a Deus,
que está nele, mas também que se serve de nossa vontade.

  

Seguindo nesse caminho, podemos dar um segundo passo: se esse mundo é
contingente, nossas ações livres valem aqui. Mas como elas seriam em outro
mundo? Podemos pensar em uma ontologia da ação livre. Em outro mundo possível,
o que poderia mudar na nossa ação livre? Nada? Ela teria o mesmo sentido de
ser? Seria uma ação livre de escolha dependente da vontade ou poderia haver
outra ordem de precedência? E mais, poderia haver outro tipo de propriedade ou
predicado que desconhecemos nesse mundo melhor possível e que poderia nos ser
atribuído em algum outro?

  

Nos outros mundos possíveis a ação livre estaria totalmente com sua causa em
nós e influenciada por nossos predicados ou essa autonomia poderia ser
relativizada? São questões que podem nos ajudar a compreender melhor a
filosofia da criação leibniziana.

 Tudo o que é feito pela informática e pela computação é invenção do homem.
Qualquer objeto dentro de um sistema de computador é um objeto artificial,
referenciado comumente como virtual.

  

Mas existe algo de real no mundo virtual? Por exemplo: quando as pessoas se
comunicam por mídias sociais, o que há aí de real?

  

A comunicação é artificial/virtual, baseada em bits e bytes. Mas, uma vez que
uma mensagem é codificada e decodificada, ela se torna necessariamente
artificial?

  

Então o jornal, o livro e a TV são artificiais, porque a linguagem é
codificada em todos esses casos. A codificação é uma meta linguagem que
permite a comunicação e que a torna artificial: virtual.

  

Talvez somente o que se fala e no momento que se fala seja algo real
(natural), dentro desse limite de comunicação codificada.

 Para nos que enxergamos, os olhos sao janelas para o mundo. Pensamos mais
atraves de imagens: elas nos afetam e direcionam nossa mente pelos seus
efeitos visuais.

É quase isso que nos resta: a imagem de pessoas, a imagem de um problema, a
imagem de uma açao, de um acontecimento ou a imagem dos objetos.

De olhos abertos vemos um mundo de imagens, mas escutamos sons, cheiramos
odores e olores e tocamos nas coisas. De olhos fechados vemos imagens.
Buscamo-as alhures.

Mas quando nos olhamos? Ou, de quanto em quanto tempo? Na correria da vida
dificilmente refletimos sobre nos. Mas quando olhamos no espelho? Olho no
olho? Olho no corpo? Olho na mente e na alma?

No mundo de imagens precisamos nos olhar mais. Nao um olhar longe e vazio e
nem um olhar perto demais e imediato, olhares do dia a dia. Mas o olhar-se.

     O texto que dá nome a essa reflexão trata do exame que seleciona os futuros professores de ciências e filosofia. A crítica de Adorno é severa, mas reflete uma Alemanha que passou pela nazismo e, nesse sentido, podemos entender a sua gravidade. Se, por um lado, há por parte dos examinados sérias deficiências, por outro lado, a falta de exigência premia a consciência reificada e sua subordinação a qualquer autoridade, mesmo que seja o regime nazista.

  

    Sobre a avaliação, os examinados preferem questões específicas que versem sobre a história da filosofia, mesmo que tenham grandes dificuldades de articulação quando ser trata do desenvolvimento de pensamento de um filósofo em relação a outro, e não só no interior de cada filosofia. Entretanto, Adorno sugere o uso de questões temáticas, que faça vínculos com a arte e a cultura de cada época e sublinha o contraponto entre o espírito filosófico e o científico, que, reificado, se vale de valores científicos para fazer a mediação com a experiência viva. Ante estudantes que não querem correr riscos no exame, o que precisa ser abordado é o potencial intelectual, a capacidade de reflexão sobre a atividade e o meio social.

  

    Assim, a consciência dos candidatos está reificada e repousa sobre ""conformações formais do pensamento"". Sem reflexão, cria-se o apolítico, que é facilmente subordinado. Mas, aonde estaria a causa do problema? Segundo Adorno na falta de formação cultural, que exige o empenho de cada um, que é espontânea, para que se crie o espírito crítico que se abre a novas possibilidades. Mas o que o resultado dos exames mostra é exatamente o contrário: fica evidente o fracasso da formação cultural, que não é alimentada por experiencias prévias oriundas da condição social de cada indivíduo.

  

    É grande o peso que Adorno coloca nos ombros do professor: ele deve ter o conhecimento específico e histórico da filosofia, mas também se relacionar com as outras ciências e com as artes e experiências em geral, refletir sobre sua atividade e sobre o social. É esse indivíduo que, com uma formação cultural adequada, pode possuir o espírito filosófico que supera a consciência reificada, é capaz de fazer a autocrítica e ensinar.

 Podemos ser engajados ou estar engajados, mas também podemos não nos
engajarmos. O compromisso é de cada um, podemos lutar invariavelmente em todas
as situações ou em alguns momentos mais relevantes, podemos somente ver a
banda passar.

  

Mas em uma situação de greve não temos escolha. A situação de greve exige
paralisação, é um estado de exceção, de suspensão do juízo, de não
normalidade. Não se admite passividade, é preciso estar lá e participar. É
preciso coletar o maior número de variáveis, escutar os pontos de vista.
Podemos nos abster e até mesmo não ter ainda uma opinião formada, mas temos
que ir.

  

Dentro da universidade (pública), diante de uma decisão da assembléia dos
estudantes por greve, não pode haver aula. Uma vez deliberada a greve, é
greve! É mobilização, é discussão. O fura-greve que fique em casa, estudando,
descansando ou cuidando de outros assuntos. Mas no espaço da universidade, a
sala de aula é para debate, é aula prática. E existe melhor aula do que essa?

  

O que temos visto é que somente nos momentos de greve podemos prestar a
atenção nos problemas institucionais e no funcionamento das estruturas. Na
situação do dia a dia todos correm atrás do seu prejuízo e poucos se engajam,
poucos guerreiros. Mas uma aula em uma greve é um evento ilegítimo porque não
é claro. Os comunicados correm na boca miúda, as notícias são contraditórias e
ninguém sabe bem o que está havendo. Contra essa atitude: cadeiraço!

   Senhora FIFA despachou Luisito mais cedo para casa. Um cão raivoso? Não, um
cachorro vira-latas, filho do terceiro mundo: o lado marginal do mundo !!!
Porque a copa é dos ricos. E, me parece, que o povo brasileiro, a imprensa
brasileira, na sua grande maioria, QUER ser colonizada pela dama de ferro.  
  
  Nas matérias de TV e jornais que vemos, na cobertura dos times, os gringos
brancos europeus estão se banhando na praia. Algum negro, alguém viu? Os
africanos brigam por dinheiro, os alemães COLONIZADORES constroem um _resort_
no paraíso da costa baiana. Playground de rico. Mas esses africanos
antidesportistas brigando por dólar... Por que será, né, cara pálida???  
  
  Mas a dama não protege os seus filhos. A dama quer dinheiro, quer sair na
foto. O show tem que continuar. A dama usa os filhos e os joga fora: tem que
dar exemplo !!! O que é isso, morder alguém em campo???? Fora !!!! Isso é
evento de primeiro mundo. E **LÁ** as pessoas se comportam.  
  
  E estamos incomodados com Luisito. Que vá logo, está estragando a nossa
copa. Que fique em casa. Que suma !!! Não passou no teste mundial, perdeu.
Temos que vencer, sempre. Se bobear: PUNIÇÃO. Que vá se tratar.  
  
  Se acho a atitude _del perro_ correta? Não acho. Mas, então, que se punam
todos e vamos ver quem sobra... Que o comitê disciplinar da senhora FIFA
trabalhe depois de todos os jogos e puna cabeçadas, cotoveladas, pisões. Que
gravem tudo e punam tudo. O pupilo do time da CBF cometeu atitude imprudente
em campo (cotovelada). Isso é coisa de jogo, da _cancha_.  
  
  Se torço pelo time da CBF? Sim. E gosto de futebol e jogo no bolão. Mas
podemos refletir com o jogo também. A bola ensina.

 Uma coisa acontece aqui e tem um efeito ali. Ou la. Nao existe acontecimento
isolado. Essa cadeia de causa e efeito envolve situaçoes concretas - reais,
materiais - mas tambem passa pelas ideias.

A cultura e a formaçao influenciam. Ha um determinismo do meio, da educaçao.
Mas o aqui e agora e fundamental. Como se vive agora contribui para o _modus
operandi_. Como se vive agora nao envolve somente conforto ou uma pseudo-
ilusao de estabilidade. Como se vive agora **e**.

A gota perene pingando no forro de gesso vence. Uma falsa pressao de fora pode
causar um desequilibrio indevido. Se sujeitar a essa falsa pressao nao e
necessario.

A equaçao do sobreviver vivendo-da-melhor-maneira-possivel precisa ser
resolvida.

 Folha, domingo - 09/03/2014: Tzvetan nos conta de sua mudança de atitude e de
como as suas ""preocupações sociais deveriam ressoar no seu trabalho"".  
  
Folha, segunda - 10/03/2014: Pondé na sua coluna se dirige aos filósofos
críticos do comércio como maus filósofos (hein?!??).  

  

Folha, terça - 11/03/2014: Safatle na sua coluna exalta a população carioca
que aplaudiu os garis em greve.  
  
Mas a filosofia não é conceito? Não é o desvelamento da razão??  
  
Esses filósofos contemporâneos nos mostram que a filosofia está totalmente
inserida na prática cotidiana e que talvez a busca da VERDADE tenha ficado no
passado.  
  
O ""engajado"" Tzvetan aponta o caminho: unir o conceito com o social, pensar a
partir de um prisma e agir sobre este prisma.  
  
O ""niilista"" Pondé faz uma crítica um tanto assoberbada aos colegas (de hoje e
de ontem).  
  
Mas o ""belo"" Safatle por hora esclarece: ao transformar a notícia, uma
""simples"" greve de garis e suas consequências políticas e sociais, cria o
roteiro de um texto revelador: é nas pequenas coisas que o conceito brota. Ele
faz a crítica e revela a verdade escondida nos detalhes.  
  
  

 Abertura da copa do mundo no Brasil, ingressos a R$ 500,00, o time local
vencendo o jogo de estreia e eis que se escuta: ""Ei Dilma, vai tomar no cu!"".
Palavrao gostoso de se dizer, ne? Melhor nao tentar dizer isso na rua para
alguem porque o resultado pode nao ser muito bom...

Mas o povo vai no estadio para dizer palavroes e xingar todo mundo. Bem, nao
era bem o ""povo"" que estava la, nosso povo anda melhorando de renda, mas
quinhentos reais nao e para qualquer um. Assim como nao era qualquer um a ser
hostilizado, era: 1) uma mulher, 2) ja senhora e 3) presidenta da republica,
representante maxima do ""povo"". Ja diria Jose Simao: ""o brasileiro e
cordial."".

Ousaria dizer que a cantoria se deu por pura falta de criatividade, por nao se
ter nada melhor para cantar, como aquele coro: ""1 2 3, 4 5 6, 7!"". Mas a
reaçao da midia sugere que, e verdade, o ""povo"" exagerou. Mas nao e a propria
midia a cultivar tal especie de odio e rancor? De fato, alem de falta de
criatividade para se festejar a vitoria com um cantico melhor, podemos dizer
que o que se passou ali foi intolerancia. Intolerancia que se ve e escuta
todos os dias por esse ""povo"" que estava la, que deve estar no pais errado. O
lugar dele devia ser a Suiça, essa deve cumprir o nivel de exigencia.

Nao quero ser politicamente correto, quero que a politica seja feita em data e
local apropriados e com o respeito que tal contenda merece. Mas o ""povo"" nao
quer mais saber de politica porque o ""povo"" so pensa no seu bolso (cheio) e so
quer morder o lucro, nao quer dividir. O ""povo"" nao quer mais partidos
politicos porque tem muita gente querendo dialogar e dividir o bolo agora e,
para esse ""povo"", e melhor uma ditadura que lhe de garantias. Debater para
que? Fora com os partidos.

Poderiamos sugerir a esse ""povo"" alguns temas para serem cantados em um
estadio de futebol, inumeras as marchinhas e bordoes que temos de carnaval.
Nosso samba e nosso pagode poderiam ser divulgados para o mundo em tamanho
evento, sao expressoes de nossa cultura. Mas o ""povo"" nao esta preocupado com
o mundo, prefere xingar a presidenta e partir para seus nobres compromissos
sociais e afazeres importantes.

     A gente faz loucuras por futebol. E na final da copa do mundo não poderia ser diferente, senão que fizemos (Lívia e eu) um bate e volta de São Paulo para o Rio de Janeiro. Ida. Saída: 00h:45hs, chegada 6:45hs. Volta. Saída: 21h:50hs, chegada 3:30hs.

  

    Dizem que o brasileiro é um povo hospitaleiro e recebe de braços abertos, mas não foi o que pudemos constatar nessa rápida passagem pela cidade maravilhosa. Com a vitória da Alemanha na final do campeonato mundial, houve muita festa dos brasileiros. Até aí, dentro da desportividade. Mas me envergonhei ao ver as pessoas xingando e hostilizando nossos visitantes. Do alto dos prédios, de dentro dos bares. A ponto de no coração de Copacabana, bairro carioca multicultural, cosmopolita, presenciarmos cenas realmente lamentáveis ao sentarmos na mesa de um bar para bebermos a ""saideira"". Cariocas se sentindo donos do boteco, hostilizando corajosos argentinos que invadiram o bairro, a cidade, o país em busca do sonho de ver a Argentina campeã novamente. Vimos um homem de perto de 60 anos ""puxar"" uma garrafa para um grupo de argentinos, um outro senhor (carioca) enrolado em uma bandeira da Alemanha muito descontrolado e agressivo. Ao me queixar com duas moças que também estavam lá, elas disseram que o bar era delas, que frequentavam lá faziam 30 anos, etc. Cariocas se sentindo donos do boteco: não era sonho ou pesadelo, era o boteco Real, esquina das ruas Paula Freitas e Barata Ribeiro.

  

    Mas também havia lá uma senhora, uma dama (também do pedaço), ilustre frequentadora que nos deu um pouco de esperança. Ela, percebendo o devaneio de seus colegas, tentava em vão argumentar. E, certamente, não somente no Rio de Janeiro, como em São Paulo e talvez em outros lugares do país, hostilizamos nossos vizinhos. Além do futebol. Vi raiva, vi ódio e desprezo. Ando preocupado com nosso povo. Não seria melhor que a taça ficasse no nosso continente, valorizando-o? Não deveríamos cuidar dos nossos? Seria o complexo de vira-latas? É o famoso fogo amigo.

  

    Mas, em 2016, o Rio de Janeiro receberá uma Olimpíadas. Quem sabe se com o foco não somente na paixão do futebol, cariocas e brasileiros talvez possam receber bem como dizem por aí. Preparemo-nos!

  

[![](https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgFRYPZPYvD5oqzWZwYg0jDp3oDNsfxCleEumQzdh5OUdPBBy6FSUpMbestDd4V9PLhMuyP8qQC2xTsur9SyVNTRmInuo08Q0Nufxvkvb0nWR7OuVInUZLIiLII49bsqV0dexSRUgXN4Ak/s1600/100_2595.JPG)](https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgFRYPZPYvD5oqzWZwYg0jDp3oDNsfxCleEumQzdh5OUdPBBy6FSUpMbestDd4V9PLhMuyP8qQC2xTsur9SyVNTRmInuo08Q0Nufxvkvb0nWR7OuVInUZLIiLII49bsqV0dexSRUgXN4Ak/s1600/100_2595.JPG)

[![](https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEifP4Usu59ujHPdk5bMnWL60LdVHqDtREalXZyg776hYDD9Yx-
wAbTmw8Xb_o9ExyEdynjVUZRVBbXGaL0vlI-
SuAX7DdefpK2CWc_gsC7i-_Hdlje1RSupfoQAx7nHe56gs2_IesR-
aPE/s1600/100_2582.JPG)](https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEifP4Usu59ujHPdk5bMnWL60LdVHqDtREalXZyg776hYDD9Yx-
wAbTmw8Xb_o9ExyEdynjVUZRVBbXGaL0vlI-
SuAX7DdefpK2CWc_gsC7i-_Hdlje1RSupfoQAx7nHe56gs2_IesR-aPE/s1600/100_2582.JPG)

[![](https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEig8-wdN83e8Wt6rzqmf8Fsj4co_I5IhlirNBAvlPChRkDch3prBWRhdCj2kyrzXTSmmaPWtNhSj_l3SLkbSTS6OkhxscLPFDg9037M-t-
CBvDvtBVx042IlKfZttoghXxtiFHBHv7LSUY/s1600/100_2594.JPG)](https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEig8-wdN83e8Wt6rzqmf8Fsj4co_I5IhlirNBAvlPChRkDch3prBWRhdCj2kyrzXTSmmaPWtNhSj_l3SLkbSTS6OkhxscLPFDg9037M-t-
CBvDvtBVx042IlKfZttoghXxtiFHBHv7LSUY/s1600/100_2594.JPG)

[![](https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjP4stHjO1oTYWOIcGIb7XWisc8g9LQqRyd72V2YxIR5afYR9FyD7KdZAwjpqOQWbDCFLkjjIGMIFsQD1_kyIv1NYpW4zBvoN_uK2FXq5Hto2CKkLdEpW45cfJpbN0W6jy6ltoOWjUQUeM/s1600/100_2583.JPG)](https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjP4stHjO1oTYWOIcGIb7XWisc8g9LQqRyd72V2YxIR5afYR9FyD7KdZAwjpqOQWbDCFLkjjIGMIFsQD1_kyIv1NYpW4zBvoN_uK2FXq5Hto2CKkLdEpW45cfJpbN0W6jy6ltoOWjUQUeM/s1600/100_2583.JPG)

  

 With the capitalism, the job's kind has changed.

Men work in places that are not their places and where they are not familiar.
Men produce objects that they don't know what they are.

When you see a factory's production line, it reminds you a Charles Chaplin
film. A man participates in a little part of the whole and he doesn't see the
totality. This is the alienation. The alienation of the job. The alienation of
the job's result.

But, what's the job's result? It's the product, i.e., goods. A product is a
strange object because it has a value. We can exchange it, exchange it by any
other.

This value seems to be natural, but it isn't. This product with value is known
as fetichism. But its value is produced by whom? It's produced by the labor of
the man: the abstract labor... And everything can (and need to) be sold. Even
our labor!!!

 Por que e tao dificil realizar certas coisas? Vivemos de projetos e promessas
que nos movem, nos absorvem, mas que, as vezes, nao se realizam. A realidade
assusta e dificilmente conseguimos encara-la. Porque, para encarar a
realidade, precisamos romper com o discurso. E o discurso e tao bom...

Vivemos de inventar projetos e nao de realizar projetos porque o mundo e muito
grande e impossivel de se abarcar. Quando, por ventura, um projeto de alguma
forma se concretiza, ele se soma ao mundo e nos e subtraido. Nesse momento,
esse projeto nao e mais nosso: e do mundo. Entretanto, Žižek nos diz que o
real nao e impossivel, mas o impossivel e real. Ou seja, o impossivel e um
subconjunto do real. De que tamanho?

Como saber que nao estamos pisando no terreno impossivel do real? Nao ha como
saber por causa dessa dicotomia entre eles. Mas, isso nao significa uma
inaçao, significa que mais do que nunca e preciso lutar para superar o desafio
da realizaçao.

Porque, conforme Žižek, o real PODE acontecer, e isso deve nos manter firmes
na luta, no sentido de uma emancipaçao.

_______  
* Arriscar o Impossivel - Conversas com Zizek - Col. Dialetica, pg 89

 Não podia passar sem uma reflexão o contato com a arte de Bergman. _[Através
de um
espelho](http://www.sescsp.org.br/programacao/41338_ATRAVES+DE+UM+ESPELHO)_
desnuda o interior e o conflito da experiência familiar e nos envolve em um
quadro psíquico intenso. Se Karin sofre de transtorno que a projeta em uma
outra realidade, a proximidade da família revela o desejo de felicidade. Sua
delicadeza liga três homens: pai, irmão e esposo. A patologia que sobre ela
incide covardemente, embaralha suas metas.  
  
Mas Karin quer fazer. Ela luta. Nós lutamos. O que nos move? O que é possível
fazer? O mar, o escuro, o vento e o barulho das ondas. Uma ilha, férias.
Gritos de pássaros ao longe e perto. Melancolia. Karin quer fazer. Mas o que
ela pode fazer? A doença destrói o que nos diferencia: a consciência, razão,
sobriedade. A doença que chega sorrateira rouba-lhe a autonomia.  
  
No momento de crise: controle. Tranquilizantes. Invasão. Ela sente e eu sinto.
Ela não chora, eu choro. Ela não sabe ou sabe demais naquele momento? Eu sei
que ali algo se vai, a maneira com que lidamos com a doença é bruta. Pedro
soube, meu pai sabe. A crise vem, VEM, crescendo... ABOCANHA!!!  
  
Mas Karin quer fazer. Ela quer fazer algo PARA o outro. Mas como?? O que
fazer?

 A argumentação faz parte do nosso dia a dia porque, como seres sociais que
somos, nos envolvemos em situações de diálogo onde precisamos defender nossas
opiniões.

  

O processo de argumentação tem como meta o esclarecimento de nosso ponto de
vista (dependendo da nossa certeza visa o predomínio de nosso ponto de vista).
Nesse processo, podemos nos utilizar de alguns métodos, como a retórica
(rebuscamento da oratória), a ética (baseado em um bem ou valor), a lógica
(encadeamento de ideias) ou a empiria (experiência prática).

  

A retórica sem dúvida tem alto poder de convencimento porque pode iludir;
podemos acreditar no discurso em si mesmo: emocionante, cativante, delicioso,
triste.

  

A ética se agarra na cultura dos envolvidos, no que é relevante para o tema do
debate e para os debatedores e pode ludibriar, pender, moralizar.

  

A lógica não tem sentimento nem valor, mas não tem erro. Não abarca tudo, mas
satisfaz dentro do contexto e permite provar de trás para frente, e vice-
versa.

  

A empiria é aquilo de cada um, do que apareceu na vida; está colada no mundo,
resultado do que resvala em nosso corpo, das refregas de nosso entendimento
com o dos outros.

  

Dependo do tipo de diálogo e da importância da situação (e de regras:
quantidade de envolvidos, critérios de consenso e igualdade de condições)
escolhemos o método que mais se adéqua.

  

Mas, independente do método, é a meta que importa: esclarecimento, se
possível, certeza. Senão caímos no vazio da subjetividade que é oposto ao
processo de argumentação. Vazio esse essencial, vital. Mas isso é tema para
outra reflexão...

 Na sua análise da crise da educação (1960), Hannah procura legitimar a
autoridade daquele que ensina. A criança que vem ao mundo é uma vida nova no
mundo (velho) e uma vida em formação.

